study,GSE,n_samples,geo_first_sample,cell_line_curated,cell_line_resolved,recount3_source_name,immortalised_curated,immortalised_VERIFIED,CHANGED,conditions,tissue,geo_quote,evidence_basis
SRP034163,"GSE53330,GSE53332",2,GSM1289414,IMR-90,IMR90,IMR90 human fiboblasts,no,no,,"Proliferating=1, Replicative CS=1",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP034541,GSE53356,4,GSM1290015,IMR-90,IMR90,IMR90 human fiboblasts,no,no,,"Proliferating=2, Replicative CS=2",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP040243,GSE55949,2,GSM1348980,IMR-90,IMR90,Primary fibroblast,no,no,,"Proliferating=1, Oncogene-induced CS=1",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP040745,GSE56293,4,GSM1358447,BJ,BJ,BJ foreskin fibroblasts,no,no,,"Replicative CS=2, Proliferating=2",Foreskin,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP045867,GSE60883,6,GSM1492877,MRC-5,MRC-5,total RNA extracted from MRC-5 fibroblasts,no,no,,"Proliferating=3, Contact_inhibited CQ=3",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP046254,GSE61130,6,GSM1498119,IMR-90,IMR90 ER:RAS,IRM90 ER:RAS,no,no,,"Proliferating=3, Oncogene-induced CS=3",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP052706,GSE65145,4,GSM1588051,Primary,foreskin 2DD,normal foreskin fibroblast,no,no,,"Proliferating=2, Serum_starved CQ=2",Foreskin,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP060598,GSE70668,6,GSM1816172,IMR-90,IMR90,Fibroblasts,no,no,,"Proliferating=3, Oncogene-induced CS=3",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP062872,"GSE72407,GSE72409",24,GSM1861966,IMR-90,IMR90,IMR90 cells,no,no,,"Proliferating=8, Oncogene-induced CS=8, Stress-induced CS=8",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP064207,GSE73458,2,GSM1894186,WI-38,WI-38,WI-38 fibrobalst (PDL 21),no,no,,"Proliferating=1, Replicative CS=1",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP065206,"GSE74324,GSE74328",15,GSM1917083,IMR-90,IMR90,IMR90 human fibrobasts,no,no,,"Proliferating=6, Serum_starved CQ=6, Oncogene-induced CS=3",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP069768,GSE77675,2,GSM2055960,WI-38,WI-38,Lung diploid fibroblasts,no,no,,"Proliferating=1, Replicative CS=1",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP070636,"GSE78138,GSE78142",2,GSM2067916,IMR-90,IMR90,IMR90 Lung Fibroblasts,no,no,,"Proliferating=1, Oncogene-induced CS=1",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP096629,GSE93535,6,GSM2454318,Primary,HDF161,dermis from human abdominoplasty,no,no,,"Contact_inhibited CQ=3, Stress-induced CS=3",Skin,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP098713,GSE94395,6,GSM2474587,IMR-90,IMR90,Lung,no,no,,"Proliferating=3, Stress-induced CS=3",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP113324,"GSE101750,GSE101763",6,GSM2714454,IMR-90,IMR90 ER:RAS,IMR90 ER:RAS,no,no,,"Proliferating=3, Oncogene-induced CS=3",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP113329,"GSE101758,GSE101763",6,GSM2714553,IMR-90,IMR90 ER:RAS,IMR90 ER:RAS,no,no,,"Oncogene-induced CS=3, Proliferating=3",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP117883,"GSE103938,GSE95021",6,GSM2786646,IMR-90,IMR90,IMR90_RAS,no,no,,"Oncogene-induced CS=3, Proliferating=3",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP121031,"GSE105937,GSE105951",6,GSM2828805,IMR-90,IMR90,RNA-seq from Proliferating Fibroblasts,no,no,,"Replicative CS=4, Proliferating=2",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP136071,GSE112068,10,GSM3056966,IMR-90,IMR90,lung,no,no,,"Stress-induced CS=7, Proliferating=3",Lung,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP153205,GSE117033,4,GSM3267560,Primary,HDF 12-1,human dermal fibroblasts,no,no,,"Proliferating=2, Contact_inhibited CQ=2",Foreskin,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP153724,GSE117121,4,GSM3271545,Primary,HDF 12-3,human dermal fibroblasts,no,no,,"Contact_inhibited CQ=2, Proliferating=2",Skin,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP154382,GSE117337,9,GSM3291218,Primary,HDF 10-2,proliferating fibroblasts,no,no,,"Proliferating=3, Contact_inhibited CQ=3, Serum_starved CQ=3",Foreskin,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
SRP154577,GSE117444,6,GSM3294929,Primary,HDF 10-5,human dermal fibroblasts (foreskin),no,no,,"Proliferating=3, Contact_inhibited CQ=3",Foreskin,(no immortalisation term in GEO sample record),no hTERT/immortal/SV40/telomerase mention in GEO sample or series record
